report_id,category,district,amount,risk_score,status
SX-100075,scam_call,Kolkata,242409,78,submitted
SX-100076,upi_fraud,Bengaluru,383792,28,resolved
SX-100077,digital_arrest,Mumbai,11404,81,submitted
SX-100078,digital_arrest,Kolkata,39877,23,verified
SX-100079,digital_arrest,Kolkata,534169,17,investigating
SX-100080,scam_call,Bengaluru,392407,51,resolved
SX-100081,scam_call,Central Delhi,459662,26,submitted
SX-100082,scam_call,Central Delhi,61759,17,resolved
SX-100083,phishing,Lucknow,564785,53,submitted
SX-100084,phishing,Chennai,321894,19,submitted
SX-100085,counterfeit,Lucknow,284269,55,submitted
SX-100086,phishing,Central Delhi,775883,42,submitted
SX-100087,counterfeit,Bengaluru,377579,87,resolved
SX-100088,phishing,Jaipur,519849,60,verified
SX-100089,digital_arrest,Chennai,445174,70,resolved
SX-100090,upi_fraud,Pune,703702,91,investigating
SX-100091,phishing,Chennai,656260,67,submitted
SX-100092,phishing,Bengaluru,302774,28,resolved
SX-100093,scam_call,Chennai,767978,47,resolved
SX-100094,counterfeit,Central Delhi,21590,95,submitted
SX-100095,upi_fraud,Lucknow,199457,59,investigating
SX-100096,upi_fraud,Chennai,433422,89,submitted
SX-100097,phishing,Pune,583200,55,investigating
SX-100098,scam_call,Central Delhi,592194,79,verified
SX-100099,digital_arrest,Lucknow,745802,31,submitted
SX-100100,counterfeit,Bengaluru,268219,33,verified
SX-100101,digital_arrest,Jaipur,279099,48,verified
SX-100102,scam_call,Chennai,526112,20,verified
SX-100103,digital_arrest,Kolkata,313878,84,verified
SX-100104,scam_call,Bengaluru,790238,23,investigating
SX-100105,scam_call,Chennai,707045,61,submitted
SX-100106,counterfeit,Jaipur,793577,29,verified
SX-100107,upi_fraud,Chennai,435799,51,investigating
SX-100108,phishing,Central Delhi,413953,34,resolved
SX-100109,scam_call,Bengaluru,330593,89,submitted
SX-100110,upi_fraud,Pune,192474,97,investigating
SX-100111,digital_arrest,Chennai,739071,96,submitted
SX-100112,counterfeit,Bengaluru,310834,82,verified
SX-100113,upi_fraud,Pune,449004,85,resolved
SX-100114,phishing,Pune,660020,45,investigating
SX-100115,upi_fraud,Chennai,88013,51,investigating
SX-100116,digital_arrest,Chennai,730175,56,submitted
SX-100117,counterfeit,Central Delhi,31849,52,investigating
SX-100118,upi_fraud,Lucknow,10631,64,submitted
SX-100119,scam_call,Bengaluru,60995,19,resolved
SX-100120,counterfeit,Jaipur,249517,31,submitted
SX-100121,scam_call,Kolkata,365338,25,verified
SX-100122,digital_arrest,Lucknow,29346,72,submitted
SX-100123,upi_fraud,Bengaluru,753290,77,resolved
SX-100124,scam_call,Bengaluru,689575,62,submitted
SX-100125,counterfeit,Lucknow,252891,60,resolved
SX-100126,counterfeit,Jaipur,793395,97,submitted
SX-100127,upi_fraud,Jaipur,402396,52,verified
SX-100128,counterfeit,Chennai,171685,91,submitted
SX-100129,phishing,Mumbai,27172,73,verified
SX-100130,digital_arrest,Bengaluru,424213,56,verified
SX-100131,counterfeit,Kolkata,185128,74,submitted
SX-100132,digital_arrest,Chennai,675912,20,resolved
SX-100133,digital_arrest,Lucknow,586656,96,resolved
SX-100134,phishing,Mumbai,346342,44,investigating
SX-100135,counterfeit,Bengaluru,760527,82,resolved
SX-100136,digital_arrest,Bengaluru,299211,60,verified
SX-100137,phishing,Chennai,463656,79,submitted
SX-100138,scam_call,Mumbai,714443,18,resolved
SX-100139,digital_arrest,Central Delhi,595875,53,submitted
SX-100140,upi_fraud,Central Delhi,394698,42,resolved
SX-100141,counterfeit,Mumbai,157817,94,resolved
SX-100142,scam_call,Pune,95410,37,verified
SX-100143,scam_call,Lucknow,93393,26,verified
SX-100144,phishing,Lucknow,704402,77,investigating
SX-100145,scam_call,Central Delhi,476154,62,submitted
SX-100146,phishing,Jaipur,130926,15,investigating
SX-100147,digital_arrest,Pune,277101,89,submitted
SX-100148,phishing,Kolkata,216707,18,submitted
SX-100149,upi_fraud,Bengaluru,636336,93,resolved
SX-100150,upi_fraud,Lucknow,352192,20,investigating
SX-100151,digital_arrest,Chennai,736541,17,verified
SX-100152,phishing,Pune,289272,65,resolved
SX-100153,scam_call,Kolkata,34845,54,resolved
SX-100154,phishing,Kolkata,123285,97,submitted
SX-100155,digital_arrest,Chennai,434413,55,verified
SX-100156,upi_fraud,Kolkata,450567,30,verified
SX-100157,scam_call,Bengaluru,408325,41,verified
SX-100158,digital_arrest,Pune,80881,29,resolved
SX-100159,digital_arrest,Central Delhi,479422,62,verified
SX-100160,upi_fraud,Lucknow,128253,63,submitted
SX-100161,digital_arrest,Lucknow,398220,61,verified
SX-100162,upi_fraud,Lucknow,681479,45,resolved
SX-100163,digital_arrest,Central Delhi,286628,75,submitted
SX-100164,digital_arrest,Bengaluru,198581,89,verified
SX-100165,counterfeit,Bengaluru,575802,89,verified
SX-100166,scam_call,Central Delhi,525338,51,submitted
SX-100167,scam_call,Kolkata,752227,76,investigating
SX-100168,scam_call,Jaipur,786301,53,verified
SX-100169,upi_fraud,Bengaluru,380062,76,resolved
SX-100170,digital_arrest,Central Delhi,755095,72,submitted
SX-100171,upi_fraud,Chennai,459964,48,investigating
SX-100172,counterfeit,Kolkata,671621,67,investigating
SX-100173,digital_arrest,Chennai,687715,17,resolved
SX-100174,scam_call,Central Delhi,104246,15,verified
SX-100175,phishing,Chennai,362170,95,verified
SX-100176,upi_fraud,Jaipur,532714,59,investigating
SX-100177,digital_arrest,Jaipur,745151,18,verified
SX-100178,counterfeit,Bengaluru,413158,35,verified
SX-100179,phishing,Central Delhi,49166,16,submitted
SX-100180,upi_fraud,Bengaluru,594026,82,submitted
SX-100181,digital_arrest,Lucknow,630995,41,verified
SX-100182,digital_arrest,Central Delhi,610000,83,resolved
SX-100183,scam_call,Pune,305016,21,investigating
SX-100184,phishing,Jaipur,625105,69,resolved
SX-100185,upi_fraud,Central Delhi,17975,88,submitted
SX-100186,counterfeit,Mumbai,128802,90,submitted
SX-100187,scam_call,Central Delhi,480822,26,verified
SX-100188,digital_arrest,Central Delhi,40642,85,resolved
SX-100189,upi_fraud,Central Delhi,302051,97,verified
SX-100190,phishing,Bengaluru,224282,25,resolved
SX-100191,upi_fraud,Lucknow,561425,96,verified
SX-100192,scam_call,Pune,400965,63,submitted
SX-100193,phishing,Lucknow,490587,90,verified
SX-100194,counterfeit,Lucknow,661454,66,resolved
SX-100195,phishing,Lucknow,101589,28,verified
SX-100196,counterfeit,Bengaluru,47280,29,resolved
SX-100197,phishing,Bengaluru,36015,73,submitted
SX-100198,scam_call,Chennai,385146,19,investigating
SX-100199,scam_call,Bengaluru,197631,69,verified
SX-100200,scam_call,Lucknow,594934,98,submitted
SX-100201,phishing,Bengaluru,720091,52,submitted
SX-100202,upi_fraud,Mumbai,23196,88,resolved
SX-100203,phishing,Chennai,689032,16,resolved
SX-100204,digital_arrest,Pune,2295,29,submitted
SX-100205,digital_arrest,Mumbai,465789,15,resolved
SX-100206,counterfeit,Pune,23910,50,submitted
SX-100207,phishing,Bengaluru,798358,25,verified
SX-100208,digital_arrest,Chennai,289429,81,submitted
SX-100209,phishing,Jaipur,307708,25,resolved
SX-100210,phishing,Bengaluru,363268,69,verified
SX-100211,counterfeit,Chennai,606862,47,investigating
SX-100212,counterfeit,Jaipur,655591,92,investigating
SX-100213,upi_fraud,Bengaluru,769680,49,investigating
SX-100214,digital_arrest,Kolkata,251821,45,verified
SX-100215,upi_fraud,Kolkata,513371,80,investigating
SX-100216,digital_arrest,Kolkata,52447,29,submitted
SX-100217,phishing,Chennai,195464,48,submitted
SX-100218,counterfeit,Kolkata,19399,47,investigating
SX-100219,digital_arrest,Bengaluru,461098,68,verified
SX-100220,phishing,Pune,695732,42,resolved
SX-100221,scam_call,Kolkata,588262,94,resolved
SX-100222,counterfeit,Lucknow,506906,56,submitted
SX-100223,phishing,Chennai,18182,15,submitted
SX-100224,phishing,Bengaluru,117824,44,submitted
SX-100225,scam_call,Chennai,102745,50,resolved
SX-100226,phishing,Jaipur,713463,46,verified
SX-100227,counterfeit,Bengaluru,519879,55,resolved
SX-100228,counterfeit,Central Delhi,84507,77,resolved
SX-100229,phishing,Bengaluru,239235,51,submitted
SX-100230,digital_arrest,Jaipur,92377,33,submitted
SX-100231,counterfeit,Kolkata,49325,92,submitted
SX-100232,counterfeit,Jaipur,727555,48,verified
SX-100233,phishing,Mumbai,319461,51,investigating
SX-100234,upi_fraud,Lucknow,347581,64,verified
SX-100235,upi_fraud,Pune,686817,37,investigating
SX-100236,counterfeit,Bengaluru,53432,19,submitted
SX-100237,digital_arrest,Chennai,341137,40,submitted
SX-100238,digital_arrest,Pune,443536,40,resolved
SX-100239,scam_call,Lucknow,641145,59,verified
SX-100240,counterfeit,Chennai,713531,94,verified
SX-100241,phishing,Bengaluru,499207,89,submitted
SX-100242,digital_arrest,Chennai,517370,85,resolved
SX-100243,counterfeit,Kolkata,557607,55,investigating
SX-100244,phishing,Kolkata,5100,97,submitted
SX-100245,counterfeit,Chennai,44937,63,submitted
SX-100246,phishing,Lucknow,289959,16,resolved
SX-100247,phishing,Mumbai,191039,46,investigating
SX-100248,scam_call,Lucknow,471480,64,verified
SX-100249,phishing,Kolkata,621098,64,resolved
SX-100250,digital_arrest,Pune,128134,37,resolved
SX-100251,upi_fraud,Central Delhi,217063,25,submitted
SX-100252,phishing,Bengaluru,531066,49,resolved
SX-100253,upi_fraud,Pune,600987,32,resolved
SX-100254,scam_call,Lucknow,408968,57,resolved
SX-100255,digital_arrest,Bengaluru,766764,80,investigating
SX-100256,digital_arrest,Mumbai,380285,23,submitted
SX-100257,scam_call,Lucknow,757607,41,investigating
SX-100258,scam_call,Lucknow,118760,63,investigating
SX-100259,scam_call,Pune,672359,70,submitted
SX-100260,upi_fraud,Bengaluru,667764,62,submitted
SX-100261,phishing,Mumbai,313478,94,resolved
SX-100262,phishing,Central Delhi,214369,63,investigating
SX-100263,phishing,Central Delhi,671443,63,verified
SX-100264,upi_fraud,Jaipur,527373,88,resolved
SX-100265,upi_fraud,Mumbai,146348,99,submitted
SX-100266,upi_fraud,Central Delhi,436287,71,submitted
SX-100267,phishing,Kolkata,722508,17,resolved
SX-100268,upi_fraud,Bengaluru,535738,78,investigating
SX-100269,upi_fraud,Mumbai,149117,21,resolved
SX-100270,upi_fraud,Jaipur,475941,32,resolved
SX-100271,phishing,Lucknow,699928,30,verified
SX-100272,digital_arrest,Jaipur,649394,21,submitted
SX-100273,scam_call,Kolkata,174117,36,verified
SX-100274,digital_arrest,Mumbai,525961,17,submitted
SX-100275,upi_fraud,Mumbai,192080,26,verified
SX-100276,counterfeit,Chennai,408469,59,resolved
SX-100277,phishing,Jaipur,579842,91,verified
SX-100278,counterfeit,Lucknow,152480,16,verified
SX-100279,counterfeit,Pune,670369,65,verified
SX-100280,counterfeit,Bengaluru,438147,49,investigating
SX-100281,counterfeit,Central Delhi,746727,90,submitted
SX-100282,upi_fraud,Kolkata,710404,94,verified
SX-100283,counterfeit,Chennai,781781,92,resolved
SX-100284,phishing,Pune,741739,79,resolved
SX-100285,phishing,Jaipur,426063,75,submitted
SX-100286,phishing,Kolkata,621715,85,resolved
SX-100287,phishing,Lucknow,490549,53,submitted
SX-100288,phishing,Kolkata,504232,58,verified
SX-100289,phishing,Lucknow,69423,92,submitted
SX-100290,upi_fraud,Pune,30662,75,verified
SX-100291,counterfeit,Mumbai,382512,57,verified
SX-100292,counterfeit,Bengaluru,765393,27,investigating
SX-100293,digital_arrest,Lucknow,394005,53,investigating
SX-100294,scam_call,Kolkata,438904,32,investigating
SX-100295,counterfeit,Chennai,95529,46,verified
SX-100296,counterfeit,Lucknow,490213,51,verified
SX-100297,upi_fraud,Lucknow,579465,38,verified
SX-100298,counterfeit,Chennai,371035,29,resolved
SX-100299,scam_call,Chennai,694902,29,verified
SX-100300,counterfeit,Bengaluru,434083,75,resolved
SX-100301,counterfeit,Pune,664373,50,resolved
SX-100302,upi_fraud,Jaipur,289653,64,verified
SX-100303,counterfeit,Mumbai,653695,56,resolved
SX-100304,phishing,Kolkata,732473,87,investigating
SX-100305,digital_arrest,Bengaluru,301834,60,verified
SX-100306,scam_call,Jaipur,579282,74,verified
SX-100307,digital_arrest,Central Delhi,128862,59,investigating
SX-100308,upi_fraud,Kolkata,493790,44,resolved
SX-100309,digital_arrest,Jaipur,668438,76,resolved
SX-100310,counterfeit,Pune,555505,29,submitted
SX-100311,digital_arrest,Kolkata,201531,52,investigating
SX-100312,digital_arrest,Jaipur,188677,26,submitted
SX-100313,digital_arrest,Bengaluru,451665,64,investigating
SX-100314,phishing,Chennai,606570,41,submitted
SX-100315,digital_arrest,Central Delhi,373818,84,investigating
SX-100316,digital_arrest,Lucknow,516375,55,resolved
SX-100317,scam_call,Mumbai,320795,90,resolved
SX-100318,upi_fraud,Pune,485692,87,investigating
SX-100319,phishing,Chennai,2359,61,resolved
SX-100320,scam_call,Kolkata,35319,34,investigating
SX-100321,scam_call,Central Delhi,561932,52,resolved
SX-100322,digital_arrest,Kolkata,215983,90,investigating
SX-100323,phishing,Jaipur,479798,51,investigating
SX-100324,upi_fraud,Lucknow,730255,72,resolved
SX-100325,counterfeit,Pune,385443,19,submitted
SX-100326,digital_arrest,Mumbai,636388,92,resolved
SX-100327,phishing,Central Delhi,590412,79,verified
SX-100328,upi_fraud,Kolkata,590087,25,resolved
SX-100329,digital_arrest,Pune,666613,33,investigating
SX-100330,counterfeit,Lucknow,369793,94,verified
SX-100331,upi_fraud,Bengaluru,264889,33,submitted
SX-100332,upi_fraud,Kolkata,210344,57,resolved
SX-100333,digital_arrest,Central Delhi,734562,30,verified
SX-100334,digital_arrest,Mumbai,504079,42,verified
SX-100335,upi_fraud,Bengaluru,46697,99,verified
SX-100336,phishing,Chennai,740268,34,verified
SX-100337,upi_fraud,Pune,447927,44,resolved
SX-100338,scam_call,Central Delhi,104616,36,investigating
SX-100339,scam_call,Chennai,482649,85,verified
SX-100340,scam_call,Lucknow,417645,90,resolved
SX-100341,phishing,Kolkata,427400,74,verified
SX-100342,digital_arrest,Kolkata,588549,96,resolved
SX-100343,scam_call,Mumbai,663370,55,resolved
SX-100344,digital_arrest,Bengaluru,229231,75,verified
SX-100345,upi_fraud,Mumbai,174240,46,resolved
SX-100346,upi_fraud,Central Delhi,260183,68,verified
SX-100347,counterfeit,Chennai,734590,78,verified
SX-100348,counterfeit,Jaipur,346001,79,submitted
SX-100349,scam_call,Chennai,41990,89,resolved
SX-100350,scam_call,Mumbai,284212,39,investigating
SX-100351,upi_fraud,Bengaluru,179292,22,investigating
SX-100352,counterfeit,Bengaluru,435121,37,verified
SX-100353,phishing,Pune,707690,80,resolved
SX-100354,digital_arrest,Central Delhi,458791,24,investigating
SX-100355,digital_arrest,Bengaluru,531877,44,verified
SX-100356,upi_fraud,Kolkata,781111,24,investigating
SX-100357,upi_fraud,Jaipur,405366,94,verified
SX-100358,upi_fraud,Chennai,627153,63,investigating
SX-100359,upi_fraud,Jaipur,351822,61,verified
SX-100360,phishing,Mumbai,586606,76,investigating
SX-100361,scam_call,Mumbai,82526,65,submitted
SX-100362,scam_call,Pune,279653,97,verified
SX-100363,scam_call,Lucknow,617016,86,investigating
SX-100364,scam_call,Jaipur,629911,44,investigating
SX-100365,digital_arrest,Pune,708794,55,investigating
SX-100366,digital_arrest,Central Delhi,638465,34,resolved
SX-100367,phishing,Pune,692623,79,investigating
SX-100368,scam_call,Jaipur,512224,45,submitted
SX-100369,phishing,Jaipur,167908,96,resolved
SX-100370,scam_call,Chennai,585422,26,investigating
SX-100371,phishing,Bengaluru,58704,99,submitted
SX-100372,scam_call,Jaipur,628691,75,verified
SX-100373,digital_arrest,Kolkata,798047,92,verified
SX-100374,counterfeit,Mumbai,104604,54,investigating
SX-100375,counterfeit,Kolkata,612878,65,submitted
SX-100376,phishing,Chennai,38166,83,resolved
SX-100377,digital_arrest,Pune,163987,71,investigating
SX-100378,digital_arrest,Chennai,248060,37,submitted
SX-100379,upi_fraud,Lucknow,163058,58,submitted
SX-100380,upi_fraud,Lucknow,304215,99,resolved
SX-100381,digital_arrest,Mumbai,467605,18,investigating
SX-100382,upi_fraud,Chennai,634943,83,resolved
SX-100383,digital_arrest,Mumbai,585593,75,resolved
SX-100384,counterfeit,Jaipur,336893,39,submitted
SX-100385,upi_fraud,Mumbai,505581,58,investigating
SX-100386,phishing,Kolkata,303894,25,verified
SX-100387,scam_call,Bengaluru,135439,55,investigating
SX-100388,phishing,Lucknow,748301,22,investigating
SX-100389,digital_arrest,Lucknow,711846,72,resolved
SX-100390,digital_arrest,Central Delhi,50437,93,submitted
SX-100391,digital_arrest,Pune,597829,30,submitted
SX-100392,scam_call,Jaipur,162421,77,investigating
SX-100393,digital_arrest,Mumbai,216413,76,investigating
SX-100394,counterfeit,Central Delhi,379585,47,investigating
SX-100395,digital_arrest,Bengaluru,476916,91,investigating
SX-100396,phishing,Jaipur,352690,33,verified
SX-100397,upi_fraud,Bengaluru,543287,21,investigating
SX-100398,counterfeit,Pune,501836,83,verified
SX-100399,scam_call,Pune,67809,21,investigating
SX-100400,scam_call,Pune,630751,76,verified
SX-100401,counterfeit,Jaipur,34964,66,resolved
SX-100402,phishing,Kolkata,383854,84,resolved
SX-100403,scam_call,Lucknow,355467,70,resolved
SX-100404,phishing,Mumbai,176413,75,submitted
SX-100405,phishing,Chennai,561170,83,submitted
SX-100406,phishing,Kolkata,343551,48,verified
SX-100407,counterfeit,Jaipur,298123,73,investigating
SX-100408,counterfeit,Kolkata,32709,55,investigating
SX-100409,upi_fraud,Pune,264451,72,investigating
SX-100410,phishing,Lucknow,263682,77,investigating
SX-100411,counterfeit,Bengaluru,422774,65,submitted
SX-100412,upi_fraud,Central Delhi,631367,53,investigating
SX-100413,counterfeit,Central Delhi,767708,72,investigating
SX-100414,digital_arrest,Jaipur,193034,57,investigating
SX-100415,digital_arrest,Pune,361233,28,submitted
SX-100416,scam_call,Chennai,385730,31,resolved
SX-100417,phishing,Central Delhi,468221,51,verified
SX-100418,digital_arrest,Pune,330741,63,verified
SX-100419,phishing,Jaipur,513367,32,verified
SX-100420,scam_call,Mumbai,85324,37,verified
SX-100421,phishing,Bengaluru,129801,80,verified
SX-100422,scam_call,Jaipur,711637,34,investigating
SX-100423,digital_arrest,Chennai,539976,74,submitted
SX-100424,phishing,Kolkata,278205,47,investigating
SX-100425,counterfeit,Kolkata,677183,25,verified
SX-100426,phishing,Lucknow,688046,63,investigating
SX-100427,digital_arrest,Kolkata,118884,29,investigating
SX-100428,upi_fraud,Chennai,99686,80,investigating
SX-100429,scam_call,Kolkata,569560,76,submitted
SX-100430,digital_arrest,Bengaluru,521047,78,submitted
SX-100431,counterfeit,Pune,659615,28,submitted
SX-100432,upi_fraud,Lucknow,217925,56,submitted
SX-100433,counterfeit,Kolkata,581976,63,submitted
SX-100434,scam_call,Bengaluru,278614,66,verified
SX-100435,upi_fraud,Chennai,156978,63,resolved
SX-100436,phishing,Bengaluru,317179,31,verified
SX-100437,digital_arrest,Central Delhi,89079,68,investigating
SX-100438,digital_arrest,Mumbai,358769,72,investigating
SX-100439,upi_fraud,Kolkata,751054,90,verified
SX-100440,digital_arrest,Jaipur,679582,92,verified
SX-100441,upi_fraud,Lucknow,778974,37,verified
SX-100442,phishing,Chennai,626010,84,verified
SX-100443,phishing,Central Delhi,265318,67,investigating
SX-100444,digital_arrest,Mumbai,173661,97,verified
SX-100445,scam_call,Pune,505371,74,resolved
SX-100446,scam_call,Bengaluru,763185,68,submitted
SX-100447,upi_fraud,Bengaluru,359242,64,resolved
SX-100448,digital_arrest,Chennai,198269,69,resolved
SX-100449,counterfeit,Central Delhi,481193,34,verified
SX-100450,scam_call,Central Delhi,748031,69,submitted
SX-100451,counterfeit,Central Delhi,252756,79,investigating
SX-100452,upi_fraud,Chennai,181449,71,submitted
SX-100453,phishing,Mumbai,505404,54,verified
SX-100454,scam_call,Lucknow,418382,28,investigating
SX-100455,phishing,Lucknow,200702,89,submitted
SX-100456,upi_fraud,Jaipur,264292,67,investigating
SX-100457,digital_arrest,Pune,76134,88,resolved
SX-100458,scam_call,Bengaluru,270439,91,investigating
SX-100459,digital_arrest,Pune,588516,75,submitted
SX-100460,digital_arrest,Bengaluru,471544,89,investigating
SX-100461,upi_fraud,Mumbai,426913,50,resolved
SX-100462,digital_arrest,Bengaluru,445873,84,resolved
SX-100463,digital_arrest,Bengaluru,333276,91,verified
SX-100464,phishing,Jaipur,131725,39,investigating
SX-100465,scam_call,Pune,260227,46,submitted
SX-100466,upi_fraud,Jaipur,598817,55,investigating
SX-100467,upi_fraud,Mumbai,767129,42,submitted
SX-100468,scam_call,Bengaluru,468689,36,resolved
SX-100469,phishing,Lucknow,433436,51,resolved
SX-100470,scam_call,Lucknow,745879,80,verified
SX-100471,scam_call,Mumbai,194462,71,investigating
SX-100472,phishing,Central Delhi,741994,43,submitted
SX-100473,scam_call,Chennai,162469,32,submitted
SX-100474,digital_arrest,Chennai,507825,91,submitted
SX-100475,counterfeit,Kolkata,237203,86,resolved
SX-100476,upi_fraud,Bengaluru,658532,47,submitted
SX-100477,digital_arrest,Central Delhi,511941,69,verified
SX-100478,upi_fraud,Mumbai,409831,67,resolved
SX-100479,scam_call,Kolkata,794405,99,investigating
SX-100480,scam_call,Bengaluru,386576,94,investigating
SX-100481,scam_call,Chennai,591550,46,resolved
SX-100482,phishing,Bengaluru,497117,16,investigating
SX-100483,digital_arrest,Bengaluru,663422,46,investigating
SX-100484,phishing,Bengaluru,337878,66,investigating
SX-100485,counterfeit,Bengaluru,403649,51,verified
SX-100486,scam_call,Kolkata,279066,68,submitted
SX-100487,scam_call,Central Delhi,151045,43,resolved
SX-100488,upi_fraud,Lucknow,420785,16,submitted
SX-100489,digital_arrest,Lucknow,611247,27,investigating
SX-100490,upi_fraud,Central Delhi,423928,97,resolved
SX-100491,upi_fraud,Pune,781728,50,verified
SX-100492,phishing,Pune,450915,27,investigating
SX-100493,scam_call,Chennai,451226,60,investigating
SX-100494,upi_fraud,Central Delhi,396911,36,submitted
SX-100495,phishing,Pune,725899,38,submitted
SX-100496,upi_fraud,Chennai,392074,67,investigating
SX-100497,counterfeit,Bengaluru,428292,69,investigating
SX-100498,scam_call,Mumbai,231829,77,verified
SX-100499,upi_fraud,Bengaluru,534059,69,submitted
SX-100500,phishing,Mumbai,373845,20,investigating
SX-100501,phishing,Pune,717143,85,resolved
SX-100502,phishing,Kolkata,87422,38,resolved
SX-100503,counterfeit,Jaipur,776744,34,submitted
SX-100504,scam_call,Mumbai,136714,23,investigating
SX-100505,phishing,Lucknow,52824,85,verified
SX-100506,digital_arrest,Lucknow,375189,69,resolved
SX-100507,phishing,Central Delhi,135740,85,submitted
SX-100508,phishing,Pune,625367,19,verified
SX-100509,upi_fraud,Bengaluru,353969,47,verified
SX-100510,upi_fraud,Mumbai,493306,78,investigating
SX-100511,upi_fraud,Pune,438562,60,submitted
SX-100512,counterfeit,Chennai,264621,38,verified
SX-100513,digital_arrest,Kolkata,617297,93,investigating
SX-100514,counterfeit,Pune,580499,22,investigating
SX-100515,counterfeit,Bengaluru,103130,51,resolved
SX-100516,digital_arrest,Mumbai,673061,68,submitted
SX-100517,digital_arrest,Kolkata,739769,41,investigating
SX-100518,digital_arrest,Central Delhi,597297,21,verified
SX-100519,digital_arrest,Mumbai,161938,97,submitted
SX-100520,upi_fraud,Lucknow,54753,93,verified
SX-100521,counterfeit,Central Delhi,240509,96,verified
SX-100522,phishing,Pune,353693,62,investigating
SX-100523,counterfeit,Jaipur,655307,17,resolved
SX-100524,digital_arrest,Mumbai,769959,67,resolved
SX-100525,phishing,Jaipur,467505,25,investigating
SX-100526,upi_fraud,Jaipur,391021,20,investigating
